Brand,Price,Ton,BEE_rating,Avg_Rating,Reviews,Rated_reviews,Type,Inverter,Convertible,Condenser Coil,Power Consumption,Noise level,Refrigerant,Ambient Temperature,WiFi Enabled,Warranty
Lg,32499,1.5,2,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1800,26,R32,Not Available,No,1 Year on Product and 10 Years on Compressor
Panasonic,35490,1.5,3,4.2,"1,089",145,Split,Yes,No,Copper,1770,48,R32,Not Available,No,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor"
Whirlpool,29999,1,3,4.1,40,4,Split,Yes,No,Copper,1390,32,R32,35,No,Not Available
Lloyd,27490,1,3,4.1,306,38,Window,No,No,Copper,808,52,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Godrej,42990,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,840,43,R32,52,Yes,1 Year Warranty on Product and 10 Years on Compressor
Daikin,40599,1,5,4.2,898,93,Split,Yes,No,Copper,940,42,R32,54,No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor"
Samsung,33490,1.5,3,4.1,354,27,Split,Yes,No,Copper,1700,45,R32,52,No,1 Year Standard Warranty on Product and 10 Years on Compressor
Onida,31499,1.5,3,4.3,"5,183",613,Split,Yes,No,Copper,1820,45,R32,58,No,1 Year on Product and 5 Year on Compressor from Onida
Lg,53990,2,3,4.1,140,7,Split,Yes,Yes,Copper,1232,32,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Lg,46279,1.5,5,4.1,65,9,Split,Yes,No,Copper,818,31,R32,52,Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Marq By Flipkart,26999,1,3,4.2,"10,293","1,394",Split,No,No,Copper,741,39,R32,Not Available,No,1 Year on Product and 5 Years on Compressor
Blue Star,30990,1,3,4.2,"1,758",167,Split,No,No,Copper,955,34,R33,Not Available,No,1 Year on Product and 5 Years Warranty on Compressor
Hitachi,33990,1.5,5,4,"1,960",209,Window,No,No,Copper,1134,50,R32,52,No,1 Year Warranty on Product and 5 Years on Compressor
Lloyd,35499,1.5,3,4,508,71,Split,Yes,No,Copper,1002,35,R32,52,Yes,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Godrej,29490,1,3,4.1,188,19,Split,Yes,No,Copper,752,40,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Hisense,32999,1.5,4,4.2,"1,548",269,Split,Yes,Yes,Copper,939,49,R32,48,No,5 Years Standard Warranty on Product and 10 Years on Compressor
Blue Star,43050,1.5,4,4.4,5,0,Split,Yes,No,Copper,932,37,Not Available,Not Available,No,1 Year Warranty on Product and 10 Years on Compressor
Motorola,43990,2,3,4.4,573,96,Split,Yes,No,Copper,1356,38,R32,60,Yes,Not Available
Whirlpool,30999,1,3,4,"4,598",524,Split,Yes,Yes,Copper,1080,32,R32,Not Available,No,Not Available
Voltas,34999,1.5,3,4.1,"1,405",138,Split,Yes,No,Copper,1690,46,R32,50,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Lloyd,33990,1.5,3,4.2,696,73,Split,Yes,No,Copper,1420,42,R32,Not Available,No,1 Year Comprehensive Warranty and 5 Years Warranty on Compressor
Croma,42990,2,3,5,3,1,Split,Yes,Yes,Copper,2070,49,R32,Not Available,No,1 Year on Product and 10 Years on Compressor
Midea,30499,1,3,5,3,0,Split,Yes,No,Copper,1170,33,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Lg,38490,1,5,4.2,60,4,Split,Yes,Yes,Copper,571,21,R32,Not Available,No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Candy,31999,1.5,3,4.1,258,49,Split,Yes,No,Copper,1089,28,R32,60,No,1 Year Warranty on Product and 10 Years on Compressor
Thomson,29999,1.5,3,4.2,392,89,Split,Yes,Yes,Copper,1640,49,R32,Not Available,No,1 Year on Product and 10 Years on Compressor Warranty
Blue Star,33990,1,3,4.2,"2,725",307,Split,Yes,No,Copper,1060,44,R35,Not Available,No,1 Year on Product and 10 Years Warranty on Compressor
Thomson,27490,1,3,4.5,181,38,Split,No,No,Copper,944,48,R32,Not Available,No,1 Year on Product and 10 Years on Compressor Warranty
Voltas,31999,1.5,2,4.1,91,8,Split,No,No,Copper,1450,46,R32,50,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Blue Star,32990,1.2,3,4.4,"3,529",423,Split,Yes,No,Copper,1440,40,Not Available,52,No,"1 Year on Product and Condenser, 10 Years on Compressor warranty from Blue Star."
Haier,28990,1,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,732,26,R32,60,No,1 Year Warranty on Product and 12 Years on Compressor
Samsung,43469,1.5,5,4.3,19,0,Split,Yes,No,Copper,1380,59,R32,Not Available,Yes,"1 Year on product 5 Years Warranty On Condenser, 10 Years Warranty On Compressor"
Daikin,47000,1.5,5,4.2,898,93,Split,Yes,No,Copper,1325,48,R32,54,No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor"
Haier,27294,1,3,Not Available,Not Available,Not Available,Split,No,No,Copper,704,26,R32,54,No,1 Year Warranty on Product and 6 Years on Compressor
Thomson,27490,1,3,4.5,181,38,Split,No,No,Copper,944,48,R32,Not Available,No,1 Year on Product and 10 Years on Compressor Warranty
Samsung,43469,1.5,5,4.3,19,0,Split,Yes,No,Copper,1380,59,R32,Not Available,Yes,"1 Year on product 5 Years Warranty On Condenser, 10 Years Warranty On Compressor"
Daikin,47000,1.5,5,4.2,898,93,Split,Yes,No,Copper,1325,48,R32,54,No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor"
Blue Star,25540,0.8,4,4,5,1,Window,No,No,Copper,838,50,R32,Not Available,No,1 Year on Product and 5 Years Warranty on Compressor
Whirlpool,35900,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,2550,40,Not Available,Not Available,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Lloyd,36399,1.5,3,4.3,553,64,Split,Yes,No,Copper,1030,42,R32,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Lloyd
Lg,34948,1.5,3,4,6,1,Split,Yes,No,Copper,1600,31,Not Available,Not Available,No,1 Year on Product and 10 Years on Compressor From LG
Lloyd,26890,1.5,3,3.7,7,0,Window,No,No,Copper,1254,53,Not Available,Not Available,No,1 Year Warranty on Product and 5 Years on Compresser
Voltas,31490,1,3,3.9,59,4,Split,No,No,Copper,1720,59,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor from Voltas
Haier,27294,1,3,Not Available,Not Available,Not Available,Split,No,No,Copper,704,26,R32,54,No,1 Year Warranty on Product and 6 Years on Compressor
Lloyd,27999,1.5,3,3.9,85,8,Window,No,No,Copper,1215,52,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Voltas,55555,2,5,Not Available,Not Available,Not Available,Split,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available
Carrier,48999,2,3,4.2,"5,815",643,Split,No,No,Copper,1665,40,R32,52,No,1 Year Warranty on Product and 5 Years on Compressor
Haier,28990,1.5,3,Not Available,Not Available,Not Available,Split,No,No,Copper,1123,29,R32,Not Available,No,1 Year Warranty on Product and 6 Years on Compressor From Haier
Lg,45990,1.5,5,4,10,1,Split,Yes,No,Copper,818,31,Not Available,Not Available,Yes,1 Year Warranty on Product and 10 Years on Compressor from LG
Croma,29990,1.5,5,Not Available,Not Available,Not Available,Window,No,No,Copper,1510,52,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Blue Star,36500,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1456,34,Not Available,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Hitachi,36590,2,2,4.2,"2,101",254,Window,No,No,Copper,1733,52,R32,52,No,1 Year Warranty on Product and 5 Years on Compressor
Daikin,34620,1,4,4.1,14,2,Split,Yes,No,Copper,1200,27,Not Available,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Blue Star,38990,1.5,3,4.2,"2,725",307,Split,Yes,No,Copper,975,62,R32,52,No,1 Year Warranty on Product and 10 Years on Inverter Compressor
Lg,34990,1,3,3.8,54,8,Split,Yes,No,Copper,680,21,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Voltas,41990,1.5,5,4.2,342,36,Split,Yes,No,Copper,1430,45,R32,52,No,1 Year on Product and 5 Years on Compressor from Voltas
Whirlpool,36990,1.5,5,4.2,"28,306","3,577",Split,Yes,No,Copper,1365,43,R32,55,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
Lloyd,28999,1.5,4,4.1,306,38,Window,No,No,Copper,1180,54,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Whirlpool,36990,1.5,5,4.2,"28,306","3,577",Split,Yes,No,Copper,1365,43,R32,55,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
Lloyd,28999,1.5,4,4.1,306,38,Window,No,No,Copper,1180,54,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Panasonic,32490,1,3,4.2,"1,089",145,Split,Yes,No,Copper,1095,45,R32,Not Available,No,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor"
Blue Star,32990,1.2,3,4.3,176,14,Split,Yes,No,Copper,926,58,R32,Not Available,No,1 Year on Product and 10 Years Warranty on Compressor From Blue Star
Lloyd,25900,1,3,4.2,261,30,Window,No,No,Copper,1118,52,R410A,Not Available,No,Not Available
Croma,33990,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,833,44,R32,Not Available,No,1 Year on Machine 10 Years on Compressor from Croma
Lg,42190,1.5,5,4.1,7,0,Split,Yes,No,Copper,5800,31,R32,Not Available,No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor from LG"
Samsung,35999,1.5,4,4.2,"24,029","2,445",Split,Yes,No,Copper,1490,45,R32,52,No,1 Year Standard Warranty on Product and 10 Years on Compressor
Carrier,54999,2,5,4.3,"9,189","1,128",Split,Yes,Yes,Copper,1780,38,R32,Not Available,No,"1 Year Warranty on Product, 2 Years on PCB and 10 Years on Compressor from Carrier"
Daikin,37340,1,4,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1145,32,Not Available,Not Available,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Daikin,36999,1,3,4.1,11,0,Split,Yes,No,Copper,1200,26,R32,50,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor"
Samsung,35500,1.5,3,3.7,10,0,Split,Yes,No,Copper,1700,36,R32,Not Available,Yes,5 Years Warranty on Product and 10 Years on Compressor
Carrier,33999,1.5,5,4.2,767,76,Window,No,No,Copper,1522,58,R32,50,No,1 Year Warranty on Product and 5 Years on Compressor
Onida,29990,1,3,4.5,"2,804",508,Split,Yes,No,Copper,1220,50,Not Available,50,No,1 Year Warranty on Product and 5 Years on Compressor from Onida
Samsung,41500,1.5,4,4.4,10,1,Split,Yes,No,Copper,1500,35,R32,Not Available,Yes,5 Years Comprehensive Warranty on Product and 10 Years on Compressor
Whirlpool,29490,1,3,4.2,"28,306","3,577",Split,Yes,No,Copper,1075,42,R32,52,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool"
Voltas,31490,1,3,3.8,15,0,Split,Yes,No,Copper,3440,44,R32,Not Available,No,"1 Year on Product, 1 Year on Condenser and 5 Years on Compressor"
Hisense,44499,2,3,4.2,"1,548",269,Split,Yes,Yes,Copper,1920,49,R32,48,No,5 Years Standard Warranty on Product and 10 Years on Compressor
Lg,38350,1,5,4.8,6,1,Split,Yes,No,Copper,571,21,R32,52,Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Lloyd,32899,1,3,Not Available,Not Available,Not Available,Split,No,No,Copper,781,42,Not Available,Not Available,No,1 Year Warranty on Product and 5 Years on Compresser
Onida,31999,1,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1090,37,R32,Not Available,No,1 Year on Product and 5 Year on Compressor from Onida
Carrier,38390,2,3,3.6,18,0,Window,No,No,Copper,1925,55,R32,Not Available,No,1 Year Warranty on Product and 5 Years on Compressor
Lloyd,27990,1.5,3,4.4,33,3,Window,No,No,Copper,1700,53,R32,Not Available,No,Not Available
Voltas,29849,1.5,3,4.3,"2,498",309,Window,No,No,Copper,1649,Not Available,R22,Not Available,No,1 Year on Product and 4 Years on Compressor
Lloyd,47499,2,3,Not Available,Not Available,Not Available,Split,No,No,Copper,1386,38,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Hitachi,41999,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1540,34,R410A,Not Available,No,Not Available
Carrier,37975,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1700,37,Not Available,Not Available,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Blue Star,50999,2,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,2025,43,R32,Not Available,No,1 Year on Product and 10 Years Warranty on Compressor
Lloyd,39000,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1800,49,R410A,Not Available,No,Not Available
Haier,25990,0.9,3,Not Available,Not Available,Not Available,Split,No,No,Copper,704,26,R32,Not Available,No,1 Year Warranty on Product and 6 Years on Compressor From Haier
Panasonic,48999,2,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1264,50,R32,Not Available,Yes,"1 Year Comprehensive on Warranty Product, 4 Years on PCB and 9 Years On Compressor"
Daikin,39990,1.5,4,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1670,45,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor"
Blue Star,33290,1,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,704,39,Not Available,Not Available,No,1 Year on Product and 10 Years on Compressor
Carrier,38999,1.5,3,Not Available,Not Available,Not Available,Split,Yes,Yes,Copper,1700,37,R32,52,No,"1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor"
Lg,56990,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,818,31,R32,52,Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Panasonic,34990,1.5,3,Not Available,Not Available,Not Available,Split,No,No,Copper,1015,47,Not Available,Not Available,No,"1 Year on Product, 5 Year on PCB and 5 Years on Compressor from Panasonic"
Godrej,33999,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1056,40,R290,52,No,1 Year Warranty on Product and 10 Years on Compressor
Daikin,50115,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1315,28,R32,Not Available,No,1 Year on Product and 5 Years on Compressor from Daikin
Croma,33990,1.5,3,Not Available,Not Available,Not Available,Split,Yes,Yes,Copper,1740,38,R32,Not Available,No,1 Year Comprehensive Warranty and 10 Years on Compressor
Voltas,28890,1.5,3,Not Available,Not Available,Not Available,Window,No,No,Copper,1729,58,R22,Not Available,No,1 Year on Product and 4 Years on Compressor
Ifb,38490,1.6,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,5650,35,R32,Not Available,No,"1 Year Warranty on Product, 4 Year Super Warranty, 5 Years on ODU PCB and 10 Years on Compressor from IFB"
Ifb,42990,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1370,38,R32,58,No,Not Available
Daikin,52999,1.8,4,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1950,32,Not Available,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Carrier,35999,1.2,5,Not Available,Not Available,Not Available,Split,Yes,Yes,Copper,1050,32,R32,Not Available,No,1 Year Warranty on Product and 10 Years on Compressor from Carrier
Voltas,38730,1.5,3,Not Available,Not Available,Not Available,Split,No,No,Copper,1424,45,R32,50,No,1 Year Warranty on Product and 4 Years on Compressor
Lg,37490,1.5,3,Not Available,Not Available,Not Available,Split,Yes,Yes,Copper,1050,26,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Carrier,57999,2,5,Not Available,Not Available,Not Available,Split,Yes,Yes,Copper,1695,38,R32,52,No,"1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor"
Panasonic,30990,1,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,731,45,R32,Not Available,No,"1 Year Comprehensive on Warranty Product, 4 Years on PCB and 9 Years On Compressor"
Nokia,31990,1.5,3,4.2,254,41,Split,Yes,Yes,Copper,1009,38,R32,Not Available,No,1 Year on Product and 5 Years on Compressor
Voltas,39490,1.5,5,4.3,"1,787",168,Split,Yes,No,Copper,1590,46,Not Available,52,No,1 Year on Product and 5 Years on Compressor from Voltas
Daikin,25999,0.8,3,4.3,"1,939",196,Split,No,No,Copper,767,29,R32,Not Available,No,1 Year on Product and 5 Years on Compressor
Daikin,32200,1,3,4.2,"2,453",233,Split,Yes,No,Copper,1110,26,R32,Not Available,No,1 Year on Product and 10 Years on Compressor From Daikin
Lloyd,31999,1,3,4,700,67,Split,No,No,Copper,743,40,R32,52,No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor From Lloyd
Voltas,36349,2,2,4.1,35,4,Window,No,No,Copper,2000,58,Not Available,Not Available,No,1 Year on Product and Condenser and 10 Years on Compressor from Voltas
Ifb,40240,1.5,3,4.4,545,86,Split,Yes,No,Copper,1119,35,R32,58,No,Not Available
Blue Star,31300,1.5,3,Not Available,Not Available,Not Available,Window,No,No,Copper,1560,53,Not Available,Not Available,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Lloyd,37500,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1835,42,R32,Not Available,No,1 Year Warranty on Product and 10 Years on Compressor
Godrej,34499,1,5,4.3,31,2,Split,Yes,No,Copper,611,40,R32,Not Available,No,1 Year Comprehensive and 10 Years on Compressor
Haier,36990,1.5,3,4.6,12,1,Split,Yes,No,Copper,1780,40,Not Available,Not Available,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
Blue Star,38990,1.5,4,4.2,"1,087",145,Split,Yes,No,Copper,977,58,R32,Not Available,No,1 Year on Product and 10 Years Warranty on Inverter Compressor from Blue Star
Lg,55990,2,3,4.4,47,8,Split,Yes,No,Copper,1232,34,R32,Not Available,No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*"
Panasonic,54990,2,5,4.3,"9,607","1,169",Split,Yes,No,Copper,1013,43,R32,Not Available,Yes,"1 Year Product Warranty, 10 Years Compressor Warranty, 5 Years PCB  Warranty"
Hisense,37999,1.5,5,4.2,"1,548",269,Split,Yes,Yes,Copper,1365,49,R32,48,No,5 Years Standard Warranty on Product and 10 Years on Compressor
Blue Star,25499,1,3,4,207,25,Window,No,No,Copper,1050,50,R32,17,No,1 Year Warranty on Product and 5 Years on Compressor
Voltas,32290,1,3,4.4,5,0,Split,No,No,Copper,980,45,R32,Not Available,No,1 Year on Product and 5 Years on Compressor from Voltas
Blue Star,36524,1.2,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1466,58,R32,52,No,1 Year on Product and 10 Years on Compressor from Blue Star
Onida,36999,1.5,5,4.3,830,139,Split,Yes,No,Copper,1525,38,Not Available,52,No,1 Year on Product and 4 Years on Compressor
Marq By Flipkart,23490,1,3,4.3,"13,779","1,943",Split,Yes,No,Copper,725,32,R32,Not Available,No,1 Year on Product and 5 Years on Compressor
Motorola,31999,1.5,3,4.2,37,9,Split,Yes,Yes,Copper,1013,43,R32,55,No,1 Year on Product and 10 Years on Compressor
Blue Star,40399,2,3,4.3,68,8,Window,No,No,Copper,2016,57,R32,17,No,1 Year Warranty on Product and 5 Years on Compressor
Lloyd,41499,1.5,5,4.2,464,53,Split,Yes,No,Copper,1370,42,R32,Not Available,No,1 Year Comrehensive Warranty and 10 Years Warranty on Compressor from Lloyd
Marq By Flipkart,21490,0.8,3,4.3,"13,779","1,943",Split,Yes,No,Copper,685,29,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor From MarQ by Flipkart
Lloyd,31299,1,3,3.9,10,0,Split,Yes,No,Copper,745,55,Not Available,Not Available,No,1 Year Warranty on Product and 10 Years on Compressor from LLOYD
Panasonic,32679,1.5,5,Not Available,Not Available,Not Available,Window,No,No,Copper,1168,56,R32,Not Available,No,1 Year Comprehensive Warranty and 4 Years on Compressor
Panasonic,38472,1,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,915,38,Not Available,Not Available,Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Marq By Flipkart,21490,0.8,3,4.3,"13,779","1,943",Split,Yes,No,Copper,685,29,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor From MarQ by Flipkart
Samsung,33779,1.5,3,4.3,200,12,Split,No,No,Copper,1410,44,Not Available,Not Available,No,"1 Year Comprehensive Warranty on Product, 1 Year on PCB, 1 Year on Condenser, 1 Year on Gas Recharge and 5 Years on Compressor from Samsung"
Voltas,33499,1,3,4.1,447,45,Split,No,No,Copper,1002,46,R22,50,No,1 Year Manufacturer Warranty from Voltas
Whirlpool,36990,1.5,3,4.1,17,1,Split,Yes,No,Copper,1890,37,R32,Not Available,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
Godrej,37490,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1046,43,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Hitachi,40350,1.5,5,Not Available,Not Available,Not Available,Window,Yes,No,Copper,1179,50,R32,Not Available,No,"1 Year on Product, 1 Year on Controller and 10 Years on Compressor"
Blue Star,40870,1.5,5,3.9,118,16,Window,Yes,No,Copper,1565,55,R32,17,No,1 Year Warranty on Product and 5 Years on Compressor
Carrier,40770,1.5,4,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1595,37,Not Available,Not Available,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Godrej,39399,1.5,5,4.2,9,0,Split,Yes,No,Copper,1380,40,R32,Not Available,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Carrier,31990,1.5,5,4.3,"1,386",178,Window,No,No,Copper,1575,56,R32,Not Available,No,1 Year on Complete Unit and 5 (1+4) Years on Compressor
Hitachi,35490,1.5,3,Not Available,Not Available,Not Available,Window,Yes,No,Copper,1279,50,R32,Not Available,No,"1 Year on Product, 1 Year on Controller and 10 Years on Compressor"
Whirlpool,31851,1,3,5,3,0,Split,Yes,No,Copper,1140,30,R32,Not Available,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
Godrej,32490,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1785,42,R32,Not Available,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Lloyd,39994,1,3,4.1,161,16,Split,Yes,No,Copper,1050,40,R410A,Not Available,No,Not Available
Panasonic,29174,1.5,3,5,3,0,Window,No,No,Copper,1238,56,R32,Not Available,No,1 Year Comprehensive Warranty and 4 Years on Compressor
Whirlpool,40500,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1890,37,R32,55,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
Midea,39499,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1380,38,R32,52,Yes,1 Year Warranty on Product and 10 Years on Compressor
Nokia,28190,1,3,4.2,254,41,Split,Yes,Yes,Copper,685,38,R32,Not Available,No,1 Year on Product and 5 Years on Compressor
Lumx,28499,1.5,4,3.5,33,2,Split,Yes,No,Copper,1470,43,R32,Not Available,No,"1 Year on Product, 1 Year on Condenser and 5 Years on Compressor from Lumx"
Haier,31999,1,3,4.3,10,5,Split,Yes,No,Copper,1200,40,Not Available,Not Available,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
Lg,38490,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,5000,26,R32,Not Available,No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor from LG"
Panasonic,36690,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1660,38,Not Available,Not Available,Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Croma,26990,1.5,3,Not Available,Not Available,Not Available,Window,No,No,Copper,1600,52,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Carrier,40261,1.5,3,Not Available,Not Available,Not Available,Split,No,No,Copper,1118,38,Not Available,Not Available,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Lg,38490,1.5,3,Not Available,Not Available,Not Available,Split,Yes,No,Copper,5000,26,R32,Not Available,No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor from LG"
Voltas,39990,1.5,5,4.3,"4,519",478,Split,Yes,No,Copper,1355,46,R32,Not Available,No,1 Year on Product and 5 Years on Compressor from Voltas
Lg,51999,1.5,5,3.3,3,0,Split,Yes,No,Copper,749,31,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Godrej,28579,1,3,4.1,37,3,Split,Yes,No,Copper,752,40,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Lg,46500,1.5,5,4.3,237,36,Split,Yes,No,Copper,1440,31,R32,Not Available,No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*"
Croma,36990,1.5,5,Not Available,Not Available,Not Available,Split,Yes,Yes,Copper,1365,49,R32,Not Available,No,1 Year on Product and 10 Years on Compressor
Daikin,40941,1,5,Not Available,Not Available,Not Available,Split,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available
Carrier,40999,1.5,3,4.4,"17,558","2,289",Split,Yes,Yes,Copper,1500,44,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Croma,28990,1.5,3,Not Available,Not Available,Not Available,Split,No,No,Copper,1430,49,R32,Not Available,No,"1 Year on Product, 5 Years on Compressor and 5 Years on Condenser"
Croma,30390,1,3,Not Available,Not Available,Not Available,Split,Yes,Yes,Copper,1210,35,R32,Not Available,No,1 Year Comprehensive Warranty and 10 Years on Compressor
Midea,29990,1.5,4,4.3,"8,217","1,203",Split,Yes,No,Copper,1800,42,R410A,Not Available,No,1 Year on Product and 10 Years on Compressor
Blue Star,35141,1.5,3,3.5,6,0,Window,Yes,No,Copper,1680,55,R32,17,No,1 Year Warranty on Product and 5 Years on Compressor
Lg,47039,1.5,5,3.9,61,6,Split,Yes,No,Copper,1015,31,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Daikin,45950,1.5,4,3.7,14,2,Split,Yes,No,Copper,1325,32,Not Available,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Samsung,47990,2,4,4.1,32,3,Split,Yes,No,Copper,1158,45,Not Available,Not Available,No,"5 Year Comprehensive Warranty on Product, 5 Year on PCB, 5 Year on Condenser, 5 Year on Gas Recharge and 5 Years on Compressor from Samsung"
Samsung,31990,1,3,4.5,4,1,Split,Yes,No,Copper,960,40,R32,Not Available,No,1 Year Standard Warranty on Product and 10 Years on Compressor
Lloyd,29390,1,5,4.2,345,43,Split,No,No,Copper,960,36,R32,Not Available,No,1 Year Comrehensive Warranty and 5 Years Warranty on Compressor from Lloyd
Blue Star,42590,1.5,3,4.5,4,0,Split,Yes,No,Copper,1456,34,Not Available,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
